linha;legacyId;numeroEdital;processoAdministrativo;protocolo;modalidade;secretaria;statusLegado;motivoCodigo;motivo;processoInternoRelacionado;origemProcessoRelacionado;objetoResumo
"1384";"4736";"TP-018-2022";"2400/2022";"244";"TOMADA DE PREÇO";"SECRETARIA DE ADMINISTRAÇÃO";"Arquivado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0058/2023 / LEGADO).";"0058/2023";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO DO POLO INDUSTRIAL MUNICIPAL DE TEIXEIRA DE FREITAS, NO MUNICÍPIO DE TEIXEIRA DE FREITAS."
"1385";"4737";"TP-017-2022";"2401/2022";"244";"TOMADA DE PREÇO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0052/2023 / LEGADO).";"0052/2023";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS DE MICRODRENAGEM NA SUB-BACIA DOS BAIRROS KAIKAN E UNIVERSITÁRIO, NO MUNICÍPIO DE TEIXEIRA DE FREITAS."
"1389";"4741";"PP-039-2022";"248/2022";"3905";"PREGÃO";"SECRETARIA DE SAÚDE";"Suspenso";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0588/2022 / LEGADO).";"0588/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO PRESENCIAL, do tipo MENOR PREÇO POR ITEM, visando a contratação de empresa especializada no fornecimento de equipamento/material permanente (TRANSFORMADOR A SECO 13,8KV - 150 KVA 380/220V) para instalação na lavanderia hospitalar do Município, conforme especificações, quantitativos e condições descritas no Termo de Referência e seu Anexo."
"1400";"4752";"PE-029-2022";"271/2022";"3933";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Suspensa";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0598/2022 / LEGADO).";"0598/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO ELETRÔNICO para SISTEMA DE REGISTRO DE PREÇOS do tipo MENOR PREÇO POR LOTE, visando a futura e eventual contratação de empresa especializada para fornecimento de material de consumo (MATERIAIS E EQUIPAMENTOS GRÁFICOS), a fim de atender as demandas as Secretaria Municipal de Administração e Planejamento e demais Secretarias, conforme especificações, quantitativos e condições descritas no Edital, Termo de Referência e seus Anexos."
"1415";"4767";"5-IL-006-2022";"305/2022";"3904";"INEXIGIBILIDADE";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0612/2022 / LEGADO).";"0612/2022";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE LINHA TELEFÔNICA, EM SUBSTITUIÇÃO AS LINHAS DA EMPRESA OI (TELEMAR NORTE E LESTE S.A.)."
"1420";"4772";"TP-002-2022";"320/2022";"3918";"TOMADA DE PREÇO";"SECRETARIA DE EDUCAÇÃO";"Arquivado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0045/2022 / LEGADO).";"0045/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade TOMADA DE PREÇOS visando a CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUIR 06 (SEIS) NOVOS REFEITÓRIOS NAS ESCOLAS MUNICIPAIS ALCENOR ALVES BARBOSA, SÃO LOURENÇO, VEREADOR GENIVALDO BISPO DE OLIVEIRA, PROFESSOR SHENEIDER C. CORREIA, AMIGOS DA NATUREZA E RACHEL DE QUEIROZ NO MUNICÍPIO DE TEIXEIRA DE FREITAS-BA."
"1432";"4784";"PE-017-2022";"349/2022";"3929";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Fracassada";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0627/2022 / LEGADO).";"0627/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO ELETRÔNICO, do tipo MENOR PREÇO POR ITEM, visando a futura e eventual contratação de empresa especializada para aquisição de material de consumo (CIMENTO CP III SC 50KG"
"1453";"4805";"PE-011-2022";"440/2022";"3971";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassada";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0647/2022 / LEGADO).";"0647/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO ELETRÔNICO, do tipo MENOR PREÇO POR ITEM, visando a contratação de empresa especializada no fornecimento de material de consumo (CONCRETO USINADO BOMBEÁVEL, CLASSE DE RESISTÊNCIA C20"
"1460";"4812";"TP-003-2022";"450/2022";"3923";"TOMADA DE PREÇO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0046/2022 / LEGADO).";"0046/2022";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL E PAVIMENTAÇÃO PARA RECUPERAÇÃO DE TALUDE E RECOMPOSIÇÃO DA PAVIMENTAÇÃO ASFALTICA DA AVENIDA ADONIAS FILHO, BAIRRO COLINA VERDE NO MUNICÍPIO DE TEIXEIRA DE FREITAS-BA."
"1485";"4837";"PE-039-2022";"495/2022";"3975";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Deserta";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0677/2022 / LEGADO).";"0677/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO ELETRÔNICO para SISTEMA DE REGISTRO DE PREÇOS do tipo MENOR PREÇO GLOBAL, visando a futura e eventual contratação de empresa especializada para fornecimento de material de consumo (CALHAS, PARAFUSOS, VERGALHÃO, TRELIÇA E OUTROS) a fim de atender as demandas as Secretaria Municipal de Infraestrutura, Transporte e Serviços Urbanos, conforme especificações, quantitativos e condições descritas no Edital, Termo de Referência e seus Anexos."
