linha;legacyId;numeroEdital;processoAdministrativo;protocolo;modalidade;secretaria;statusLegado;motivoCodigo;motivo;processoInternoRelacionado;origemProcessoRelacionado;objetoResumo
"22";"64";"PE-025-2023";"1794/2022";"21399/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0014/2022 / MANUAL).";"0014/2022";"MANUAL";"FORNECIMENTO DE MATERIAL DE CONSUMO: EPI'S e EPC'S PARA ADM E PLANEJAMENTO"
"27";"69";"PE-013-2023";"2150/2022";"30381/2022";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0011/2022 / MANUAL).";"0011/2022";"MANUAL";"AQUISIÇÃO DE MATERIAL DE CONSUMO (FERRAMENTAS) PARA SEINFRA"
"28";"70";"PE-028-2023";"1642/2022";"15830/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0013/2022 / MANUAL).";"0013/2022";"MANUAL";"SERVIÇO DE CONFECÇÃO DE CRACHÁS EM PVC PARA ADM E PLANEJAMENTO."
"30";"72";"PE-011-2023";"1896/2022";"21827/2022";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0009/2022 / MANUAL).";"0009/2022";"MANUAL";"AQUISIÇÃO DE APARELHO AR-CONDICIONADO DE 36000 BTU'S"
"35";"77";"PE-014-2023";"1294/2022";"11993/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0010/2022 / MANUAL).";"0010/2022";"MANUAL";"SECADORA INDUSTRIAL PARA LAVANDERIA HOSPITALAR"
"41";"86";"PE-016-2023";"2398/2022";"401/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0012/2022 / MANUAL).";"0012/2022";"MANUAL";"AQUISIÇÃO DE ARMÁRIO MULTIUSO E MESA INFANTIL SEXTAVADA, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE EDUCAÇÃO E CULTURA."
"42";"87";"PE-018-2023";"1806/2022";"22767/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0015/2022 / MANUAL).";"0015/2022";"MANUAL";"Fornecimento de material de consumo (ARSENAL CIRÚRGICO PARA REALIZAÇÃO DE CIRURGIAS ORTOPÉDICAS), A FIM DE ATENDER AS DEMANDAS DA SEC. DE SAÚDE"
"52";"100";"PE-032-2023";"77/2023";"2395/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0031/2023 / MANUAL).";"0031/2023";"MANUAL";"AQUISIÇÃO DE MATERIAL PERMANENTE MÉDICO ODONTOLÓGICO: COMPRESSOR DE AR, CADEIRA, NEGATOSCÓPIO, PONTAS DE UTRASSOM E RAIO X, A FIM DE ATENDER AS DEMANDAS DA SAÚDE"
"53";"101";"PE-020-2023";"98/2023";"2849/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0004/2023 / MANUAL).";"0004/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO E MANUTENÇÃO DE GESSO COM MATERIAL INCLUSO, A FIM DE ATENDER A SEINFRA."
"54";"102";"PE-023-2023";"170/2023";"4317/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0003/2023 / MANUAL).";"0003/2023";"MANUAL";"AQUISIÇÃO DE CONJUNTO ALUNO INFANTIL, JUVENIL E ADULTO, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA"
"56";"104";"PE-033-2023";"107/2023";"3466/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0009/2023 / MANUAL).";"0009/2023";"MANUAL";"AQUISIÇÃO DE CATÉTERES E DRENOS, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE."
"59";"107";"PE-030-2023";"117/2023";"3260/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Revogado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0011/2023 / MANUAL).";"0011/2023";"MANUAL";"FORNECIMENTO DE KIT CARTUCHO PARA IMPRESSORA PLOTTER, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO"
"61";"109";"PE-031-2023";"196/2023";"5347/2023";"PREGÃO";"SECRETARIA DE MEIO AMBIENTE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0005/2023 / MANUAL).";"0005/2023";"MANUAL";"FORNECIMENTO DE PEÇAS DE EUCALIPTO TRATADA IMUNIZADA, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE MEIO AMBIENTE"
"64";"112";"PE-035-2023";"220/2023";"5953/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0012/2023 / MANUAL).";"0012/2023";"MANUAL";"AQUISIÇÃO DE LÂMINA CURVA, A FIM DE ATENDER AS DEMANDAS DA SEINFRA"
"65";"113";"PE-034-2023";"69/2023";"5139/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0006/2023 / MANUAL).";"0006/2023";"MANUAL";"FORNECIMENTO DE MADEIRAS (COMPENSADO, MADEIRITE, PEÇA DE MADEIRA, TÁBUA E OUTROS), A FIM DE ATENDER AS DEMANDAS DA SEINFRA"
"66";"114";"PE-029-2023";"70/2023";"5146/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0008/2023 / MANUAL).";"0008/2023";"MANUAL";"FORNECIMENTO DE BOLACHA LED, CABO DE ALUMÍNIO, ESCADA DE FIBRA E CINTA CIRCULAR, A FIM DE ATENDER AS DEMANDAS DA SEINFRA."
"68";"116";"PE-022-2023";"2327/2022";"33602/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0062/2023 / LEGADO).";"0062/2023";"LEGADO";"AQUISIÇÃO DE GERADOR 40KVA PARA A VIGILÂ NCIA EPIDEMIOLÓGICA, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE."
"69";"117";"PE-045-2023";"251/2023";"8038/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0028/2023 / MANUAL).";"0028/2023";"MANUAL";"AQUISIÇÃO DE FRALDAS DESCARTÁVEIS ADULTO E ABSORVENTE PÓS-PARTO, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE"
"71";"119";"PE-041-2023";"269/2023";"7169/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0013/2023 / MANUAL).";"0013/2023";"MANUAL";"AQUISIÇÃO DE PNEUS E PROTETORES DE CÂMARA DE AR, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO E DEMAIS SECRETARIAS"
"74";"122";"PE-046-2023";"247/2023";"6658/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Suspenso";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0018/2023 / MANUAL).";"0018/2023";"MANUAL";"AQUISIÇÃO DE BOLSAS DE OSTOMIA E ADJUVANTES A FIM DE ATENDER AS DEMANDAS DA SEC. DE SAÚDE"
"75";"123";"PE-042-2023";"339/2023";"7808/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0025/2023 / MANUAL).";"0025/2023";"MANUAL";"FORNECIMENTO DE REVESTIMENTOS, ARGAMASSA E REJUNTE, A FIM DE ATENDER AS DEMANDAS DA SEINFRA"
"76";"124";"PE-036-2023";"98/2023";"2849/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0004/2023 / MANUAL).";"0004/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO E MANUTENÇÃO DE GESSO COM MATERIAL INCLUSO, A FIM DE ATENDER A SEINFRA."
"77";"125";"PE-040-2023";"325/2023";"7565/2023";"PREGÃO";"SECRETARIA DE ESPORTE E LAZER";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0014/2023 / MANUAL).";"0014/2023";"MANUAL";"MATERIAIS ESPORTIVOS 2 PARA ATENDER AS DEMANDAS DA SEC. DE ESPORTE E LAZER"
"78";"126";"PE-037-2023";"398/2023";"10344/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0007/2023 / MANUAL).";"0007/2023";"MANUAL";"AQUISIÇÃO DE MATERIAIS ELÉTRICOS, A FIM DE ATENDER AS DEMANDAS DA SEC. DE SAÚDE."
"79";"127";"PE-044-2023";"245/2023";"7580/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0016/2023 / MANUAL).";"0016/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE PRODUÇÃO E INSTALAÇÃO DE MATERIAL DE COMUNICAÇÃO VISUAL (PLACAS DIVERSAS, SINALIZAÇÃO, ADESIVOS, TOTENS, DENTRE OUTROS), A FIM DE ATENDER AS DEMANDAS DA SEC. DE ADM E PLANEJAMENTO."
"81";"130";"PE-039-2023";"477/2023";"12075/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Revogado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0010/2023 / MANUAL).";"0010/2023";"MANUAL";"AQUISIÇÃO DE MEDICAMENTO ESILATO DE NINTEDANIBE, A FIM DE ATENDER A DEMANDA JUDICIAL EM FAVOR DE SADRAQUE GOMES SANTOS."
"82";"131";"PE-038-2023";"443/2023";"11197/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0015/2023 / MANUAL).";"0015/2023";"MANUAL";"SERVIÇO DE PRODUÇÃO, ORGANIZAÇÃO E REALIZAÇÃO DE DIVERSOS EVENTOS NO MUNICÍPIO DE TEIXEIRA DE FREITAS"
"84";"133";"PE-047-2023";"359/2023";"8847/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0024/2023 / MANUAL).";"0024/2023";"MANUAL";"SERVIÇO DE REFORMA, RECAUCHUTAGEM, CONSERTO, VULCANIZAÇÃO E TROCA DE PNEUS, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUN. DE ADM. E PLANEJAMENTO E DEMAIS SECRETARIAS."
"85";"134";"PE-048-2023";"385/2023";"9267/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0023/2023 / MANUAL).";"0023/2023";"MANUAL";"FORNECIMENTO DE GÊNERO ALIMENTÍCIO - PAES, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO E DEMAIS SECRETARIAS."
"87";"137";"PE-058-2023";"280/2023";"6752/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Suspenso";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0029/2023 / MANUAL).";"0029/2023";"MANUAL";"AQUISIÇÃO DE AQUECEDOR, BOMBA E PLACA DE AQUECEDOR PARA PISCINA DO CER-IV"
"90";"140";"PE-076-2023";"464/2023";"12708/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0039/2023 / MANUAL).";"0039/2023";"MANUAL";"AQUISIÇÃO DE EQUIPAMENTOS PERMANENTES PARA ATENDER AS DEMANDAS DA FISIUS - FISIOTERAPIA INTEGRADA."
"92";"142";"PE-060-2023";"491/2023";"12739/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0033/2023 / MANUAL).";"0033/2023";"MANUAL";"FORNECIMENTO DE MEDICAMENTOS ONCOLÓGICOS PARA A UNACON, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE"
"93";"143";"PE-061-2023";"499/2023";"13013/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0032/2023 / MANUAL).";"0032/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS COM INSUMO PARA IMPRESSORA 3D, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE EDUCAÇÃO E CULTURA"
"94";"145";"PE-059-2023";"578/2023";"14598/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0036/2023 / MANUAL).";"0036/2023";"MANUAL";"AQUISIÇÃO DE FILMES RADIOLÓGICOS PARA O CTO - SEC. MUN. DE SAÚDE"
"95";"146";"PE-050-2023";"556/2023";"13947/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0026/2023 / MANUAL).";"0026/2023";"MANUAL";"AQUISIÇÃO DE KIT LAVATÓRIO EM LOUÇA, PIA DE COZINHA E TELHA DE FIBROCIMENTO, A FIM DE ATENDER AS DEMANDAS DA SEINFRA."
"98";"149";"PE-051-2023";"594/2023";"1579/2023";"PREGÃO";"SECRETARIA DE SEGURANÇA E TRANSPORTE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0037/2023 / MANUAL).";"0037/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE SINALIZAÇÃO VIÁRIA VERTICAL COM FORNECIMENTO E INSTALAÇÃO DE DISPOSITIVOS PARA MELHORIA DAS CONDIÇÕES DE SEGURANÇA E TRÁFEGO NO MUNICÍPIO DE TEIXEIRA DE FREITAS"
"99";"152";"PE-052-2023";"636/2023";"17494/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0021/2023 / MANUAL).";"0021/2023";"MANUAL";"AQUISIÇÃO DE LUVAS CIRÚRGICAS E DE PROCEDIMENTOS A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE."
"100";"153";"PE-055-2023";"530/2023";"12877/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0027/2023 / MANUAL).";"0027/2023";"MANUAL";"FORNECIMENTO DE MEDICAMENTOS DIVERSOS, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE"
"101";"154";"PE-054-2023";"615/2023";"17353/2023";"PREGÃO";"SECRETARIA DE PROMOÇÃO SOCIAL";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0022/2023 / MANUAL).";"0022/2023";"MANUAL";"FORNECIMENTO DE MAMADEIRA, CHUCAS, BANHEIRA INFANTIL E KIT PENTE E ESCOVA PARA BEBÊ PARA COMPOR KIT NATALIDADE, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL."
"102";"155";"PE-053-2023";"385/2023";"9267/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0023/2023 / MANUAL).";"0023/2023";"MANUAL";"FORNECIMENTO DE GÊNERO ALIMENTÍCIO - PAES, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO E DEMAIS SECRETARIAS."
"104";"157";"PE-056-2023";"359/2023";"8847/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Revogado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0024/2023 / MANUAL).";"0024/2023";"MANUAL";"SERVIÇO DE REFORMA, RECAUCHUTAGEM, CONSERTO, VULCANIZAÇÃO E TROCA DE PNEUS, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUN. DE ADM. E PLANEJAMENTO E DEMAIS SECRETARIAS."
"105";"158";"PE-057-2023";"339/2023";"7808/2023";"PREGÃO";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0025/2023 / MANUAL).";"0025/2023";"MANUAL";"FORNECIMENTO DE REVESTIMENTOS, ARGAMASSA E REJUNTE, A FIM DE ATENDER AS DEMANDAS DA SEINFRA"
"109";"162";"PE-065-2023";"551/2023";"13693/2023";"PREGÃO";"SECRETARIA DE ESPORTE E LAZER";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0035/2023 / MANUAL).";"0035/2023";"MANUAL";"FORNECIMENTO DE MATERIAIS ESPORTIVOS - ITENS FRACASSADOS DO PE-005-2023, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE ESPORTE E LAZER."
"111";"164";"PE-071-2023";"566/2023";"14506/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0043/2023 / MANUAL).";"0043/2023";"MANUAL";"FORNECIMENTO DE ELEMENTOS FILTRANTES, A FIM DE ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA"
"113";"166";"PE-063-2023";"649/2023";"17581/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0042/2023 / MANUAL).";"0042/2023";"MANUAL";"AQUISIÇÃO DE MEDICAMENTO A FIM DE ATENDER DEMANDA JUDICIAL COM ANTECIPAÇÃO DE TUTELA PROVISÓRIA, À USUÁRIOS DO SUS"
"114";"167";"PE-062-2023";"158/2023";"12290/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0034/2023 / MANUAL).";"0034/2023";"MANUAL";"FORNECIMENTO DE MATERIAL PARA CABEAMENTO ESTRUTURADO, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E PLANEJAMENTO E DEMAIS SECRETARIAS"
"119";"172";"PE-081-2023";"624/2023";"7472/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Deserto";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0046/2023 / MANUAL).";"0046/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇOS DE PROCEDIMENTO MÉDICO OFTALMOLÓGICO, A FIM DE ATENDER DEMANDA JUDICICAL EM FAVOR DE JOSÉ RAMOS DA SILVA"
"120";"173";"PE-072-2023";"569/2023";"14416/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0041/2023 / MANUAL).";"0041/2023";"MANUAL";"AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS E EQUIPAMENTOS PERMANENTES (TERMO PAR 9230), A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE EDUCAÇÃO E CULTURA."
"125";"178";"PE-066-2023";"1806/2022";"22767/2022";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0015/2022 / MANUAL).";"0015/2022";"MANUAL";"Fornecimento de material de consumo (ARSENAL CIRÚRGICO PARA REALIZAÇÃO DE CIRURGIAS ORTOPÉDICAS), A FIM DE ATENDER AS DEMANDAS DA SEC. DE SAÚDE"
"128";"181";"PE-074-2023";"578/2023";"14598/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0036/2023 / MANUAL).";"0036/2023";"MANUAL";"AQUISIÇÃO DE FILMES RADIOLÓGICOS PARA O CTO - SEC. MUN. DE SAÚDE"
"130";"184";"PE-049-2023";"501/2023";"";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0038/2023 / MANUAL).";"0038/2023";"MANUAL";"Contratação de empresa especializada na prestação de serviços médicos na área de cardiologia intervencionista (HEMODINÂMICA), para a realização de procedimentos diagnósticos e terapêuticos eletivos e de urgência, além da execução de atividades inerentes aos serviços prestados no ambiente hospitalar, visando atender as demandas de alta e média complexidade do Hospital Municipal de Teixeira de Freitas (HMTF), de responsabilidade do Fundo Municipal de Saúde de Teixeira de Freitas, conforme condições, quantidades e exigências estabelecidas neste instrumento, para o período de um ano."
"134";"188";"PE-078-2023";"709/2023";"21230/2023";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0040/2023 / MANUAL).";"0040/2023";"MANUAL";"AQUISIÇÃO DE INSTRUMENTOS E ACESSÓRIOS MUSICAIS PARA AS BANDAS MARCIAIS DE 06 ESCOLAS MUNICIPAIS, ORGANIZADA E DIRECIONADAS PELA SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA"
"147";"202";"PE-082-2023";"2300/2022";"32876/2022";"PREGÃO";"SECRETARIA DE EDUCAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0053/2023 / LEGADO).";"0053/2023";"LEGADO";"Aquisição de CÂMARA FRIGORÍFICA (bem permanente) para o Departamento da Merenda Escolar, sob responsabilidade da Secretaria Municipal de Educação e Cultura"
"171";"226";"PE-049-2023";"501/2023";"";"PREGÃO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0038/2023 / MANUAL).";"0038/2023";"MANUAL";"Contratação de empresa especializada na prestação de serviços médicos na área de cardiologia intervencionista (HEMODINÂMICA), para a realização de procedimentos diagnósticos e terapêuticos eletivos e de urgência, além da execução de atividades inerentes aos serviços prestados no ambiente hospitalar, visando atender as demandas de alta e média complexidade do Hospital Municipal de Teixeira de Freitas (HMTF), de responsabilidade do Fundo Municipal de Saúde de Teixeira de Freitas, conforme condições, quantidades e exigências estabelecidas neste instrumento, para o período de um ano."
"182";"239";"CP-010-2023";"858/2023";"858/2023";"CONCORRÊNCIA PÚBLICA";"SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS";"Revogado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0112/2023 / LEGADO).";"0112/2023";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EXECUÇÃO DE OBRAS DE MICRODRENAGEM E PAVIMENTAÇÃO EM BLOCO RETANGULAR INTERTRAVADO EM DIVERSAS RUAS DOS BAIRROS BELA VISTA E SANTA ROSA DE LIMA, NO MUNICÍPIO DE TEIXEIRA DE FREITAS - BA."
"184";"241";"PE-098-2023";"763/2023";"21167/2023";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0124/2023 / LEGADO).";"0124/2023";"LEGADO";"AQUISIÇÃO DE EXTRATOR OBSTÉTRICO À VÁCUO E ASPIRADOR MANUAL INTRA UTERINO, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE SAÚDE"
"233";"297";"PE-158-2023";"1591/2023";"49730/2023";"PREGÃO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0044/2023 / MANUAL).";"0044/2023";"MANUAL";"PRESTAÇÃO DE SERVIÇO DE GESTÃO DE DOCUMENTOS, SUPORTE ILIMITADO, CONFIGURAÇÃO, ATUALIZAÇÕES E TREINAMENTO DE SERVIDORES E COM FORNECIMENTO DE LICENÇA DE SOFTWARE, A FIM DE ATENDER AS DEMANDAS DA SEC. MUN. DE ADMINISTRAÇÃO E DEMAIS SECRETARIAS."
"295";"2043";"ARP PE 064.2023";"330/2024";"5350/2024";"LICITAÇÃO EXTERNA";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0213/2023 / LEGADO).";"0213/2023";"LEGADO";"AQUISIÇÃO DE MEDICAMENTOS, INSUMOS FARMACÊUTICOS E CORRELATOS PARA ASSISTÊNCIA FARMACÊUTICA."
